"Organización Política","Total","%Votos Válidos","%Votos Emitidos"
"PRIMERO LAMBAYEQUE",27194,4.51,3.58
"PODEMOS POR EL PROGRESO DEL PERU",252377,41.88,33.25
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5214,0.87,0.69
"ALIANZA PARA EL PROGRESO",111633,18.53,14.71
"PARTIDO POPULAR CRISTIANO - PPC",9661,1.6,1.27
"TODOS POR EL PERU",18181,3.02,2.4
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",4604,0.76,0.61
"PARTIDO DEMOCRATICO SOMOS PERU",34093,5.66,4.49
"PERU PATRIA SEGURA",3797,0.63,0.5
"FUERZA POPULAR",37151,6.17,4.89
"JUNTOS POR EL PERU",53718,8.92,7.08
"PERUANOS POR EL KAMBIO",6976,1.16,0.92
"VAMOS PERU",5894,0.98,0.78
"ACCION POPULAR",32060,5.32,4.22
"TOTAL DE VOTOS VALIDOS",602553,100,79.38
"VOTOS EN BLANCO",86455,NA,11.39
"VOTOS NULOS",70085,NA,9.23
"TOTAL DE VOTOS EMITIDOS",759093,NA,100
